steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
1276733266,24751,-2,0,49859.4860974917,52583.0911866422,54011.2746012350,62268.6021930977,55182.8534575288,56949.8585578533,53595.4800654014,47141.8918505717,54615.0113821957,4117.6702818518
1276733266,24751,-2,0,49856.8822103716,52589.5035628679,54010.0578315527,62268.2736652834,55186.1752387615,56947.0234844935,53592.8883459781,47140.6264101021,54612.6265136184,4117.6094433677
1276733266,24751,-2,0,49859.4374267044,52588.9925196013,54011.1164211763,62270.4273476211,55189.5943615687,56948.8486390169,53595.5287361887,47144.8851039901,54616.3011580590,4125.1655830947
1276733266,24751,-2,0,49867.0422372187,52588.8951780267,54014.1583453820,62273.7369611569,55191.7602116032,56952.6449604257,53598.4489834262,47149.3384810273,54618.6981943331,4126.3701850802
1276733266,24751,-2,0,49865.3752627540,52596.8893548394,54015.6671397881,62272.8000485016,55194.8386388994,56948.4471050218,53593.5697370002,47142.8044278334,54612.1398057455,4125.5914524835
1276733266,24751,-2,0,49863.1972450227,52594.2733000225,54014.0488361106,62271.8388004526,55191.9913978428,56948.6174527773,53590.7224959437,47138.6552432168,54608.4529936082,4125.8348064200
1276733266,24751,-2,0,49872.0066575225,52594.0056106924,54020.3273676713,62281.1105854316,55195.3496821660,56960.1402616686,53600.5539949766,47148.0000343768,54615.8144501861,4124.8978937646
1276733266,24751,-2,0,49875.2797679678,52602.4864953780,54022.9920932755,62284.5905467230,55202.1757600836,56952.9491528463,53602.0141185953,47147.7323450467,54615.4250838877,4120.7973799353
1276782380,24752,-2,0,49872.5055330922,52605.8447797011,54018.5508839351,62281.9988272997,55203.9644115166,56944.9428083368,53599.0573682674,47143.6805020047,54609.6089248064,4124.9587322487
1276782380,24752,-2,0,49871.4226080750,52596.4513177538,54016.2268538419,62276.4138544580,55199.5353698730,56951.3916876529,53599.0208651769,47143.5223219460,54611.0447130315,4127.2219238578
1276782380,24752,-2,0,49868.3928515661,52598.1426276122,54015.3142765802,62272.4958560810,55200.8129780395,56949.1284960439,53594.1781218414,47143.4493157650,54611.0690484251,4125.8591418136
1276782380,24752,-2,0,49858.3545016871,52597.2908888346,54008.5247017530,62264.5260146620,55196.9558181466,56935.9873834751,53584.4074612926,47134.3113754510,54603.7075918472,4121.9411434367
1276782380,24752,-2,0,49856.2859932272,52587.4837251953,54002.0271516496,62264.9153809603,55192.6119503808,56940.5989405710,53583.5678902118,47134.7250771430,54601.6755864778,4119.4345978911
1276782380,24752,-2,0,49858.7073648950,52585.4638875227,54004.1078278063,62268.9793916992,55194.1450801805,56945.7945471144,53587.9969318553,47136.5502316664,54603.5615794854,4114.1659851668
1276782380,24752,-2,0,49853.9254600436,52588.9316811172,54007.2714289803,62266.2903307013,55195.0333220486,56941.5601886200,53584.6143121385,47130.4420478613,54600.3614752209,4110.2601544866
1276782380,24752,-2,0,49848.2309779304,52581.3268706029,54005.8599761488,62259.9022898693,55187.8908840135,56941.7305363755,53580.9396676980,47129.6998183551,54601.2375493922,4113.5089295384
1276807801,24753,-2,0,49855.6411052956,52577.9320831893,54009.8753161004,62265.6941135570,55189.2658337545,56951.9635694036,53587.2425346523,47137.3776350504,54608.0879627035,4118.7532068690
1276807801,24753,-2,0,49863.6717851988,52590.6838294597,54017.3584496465,62273.8343027315,55200.4357794379,56952.8518112717,53592.0974456847,47142.1352045082,54611.5922593885,4123.4012670554
1276807801,24753,-2,0,49865.9228091110,52598.0939568249,54017.3219465560,62275.8298050105,55204.3416101181,56950.4304396039,53593.7035816653,47143.8386820634,54611.5192532076,4130.4220281222
1276807801,24753,-2,0,49867.2612557615,52590.8785126089,54014.6572209518,62274.6008676314,55202.4799525042,56949.6273716136,53594.4701465651,47148.2312206164,54613.1497245818,4128.5847059020
1276807801,24753,-2,0,49866.4581877712,52593.5067351226,54012.5522094014,62275.8176373137,55204.1955977562,56945.1739945764,53594.5674881397,47146.5034076676,54610.1078003761,4125.4089370312
1276807801,24753,-2,0,49860.2891654820,52592.3751393181,54008.9749065355,62271.9483097240,55200.8859842204,56942.4362627913,53589.2502046281,47139.5313173880,54604.7296783804,4125.2629246693
1276807801,24753,-2,0,49862.2603323673,52587.6784083444,54011.1529242668,62275.6959603454,55199.9125684746,56956.5994618932,53595.7112516411,47144.2158806649,54613.3322400342,4129.4242769828
1276807801,24753,-2,0,49869.4149380992,52593.9204368146,54020.0718460380,62281.8041441506,55205.9842491892,56960.9554973558,53602.4399879842,47151.7233496046,54620.6085227343,4132.1620087679
1276831288,24754,-2,0,49864.6695363382,52600.6978439450,54016.9082448640,62275.5742833772,55206.6778079081,56954.2997671936,53597.5972446486,47144.0577006062,54615.2060653449,4133.6586354771
