steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
6007896251,7126,-2,0,1596.3653200795,46351.3079171979,-4246.1489926052,17959.2406536355,56604.0769495389,55429.3223243743,38872.0071955878,56094.9805144670,37710.3571799015,22292.0236476201
6007896251,7126,-2,0,1605.3085772444,46352.9140531785,-4235.1372269805,17976.8108078478,56609.4185684442,55416.3393918642,38872.9806113336,56097.3167122570,37712.0728251535,22288.9817234143
6007896251,7126,-2,0,1601.2810695960,46348.2538252953,-4238.0939773085,17971.9802322091,56605.4762346735,55413.6503308664,38869.6223270105,56091.4275469947,37708.5320253780,22288.8478787493
6007896251,7126,-2,0,1584.9155173691,46350.7117000535,-4247.6091162240,17958.7539457625,56601.4730624188,55423.0924636010,38872.1653756465,56092.3522919532,37708.7875470113,22289.6387790428
6007896251,7126,-2,0,1593.2747250865,46355.2745863621,-4242.2918327124,17978.9888255791,56611.0003690311,55419.6611730969,38878.0910439992,56098.0224386727,37711.9998189726,22288.9330526270
6007896251,7126,-2,0,1607.5230980662,46355.4571018145,-4239.0917284479,17993.6509002507,56614.3586533543,55416.6800873753,38879.2348075006,56098.1319479441,37709.1525779160,22288.5436863287
6007896251,7126,-2,0,1598.1053007252,46356.9780639173,-4243.1800745804,17975.7643859210,56610.3311457059,55428.9329580760,38881.4979991096,56098.1684510346,37708.0696528988,22293.0092310627
6007896251,7126,-2,0,1593.5059113261,46362.7212168178,-4238.5685174846,17979.2930179997,56617.4735837410,55425.3678229069,38884.9779604010,56105.3230567665,37710.8438877744,22295.3697642464
6007943854,7127,-2,0,1598.7988594441,46357.2214178538,-4236.5000090247,17990.0492619912,56616.3663233301,55409.9878541227,38876.5457465027,56101.7944246878,37702.7158662967,22288.7992079620
6007943854,7127,-2,0,1589.6000806460,46353.8387981370,-4245.7352909133,17968.7557925510,56610.0391209821,55415.7188393263,38871.8003447418,56097.2680414697,37699.7347805751,22284.9907188564
6007943854,7127,-2,0,1589.1863789540,46358.1461628124,-4246.9885636860,17962.0513916016,56613.5555853640,55421.8026877377,38875.9860324489,56100.1152825263,37705.9403059548,22283.4210859662
6007943854,7127,-2,0,1608.0219736359,46359.9469819421,-4240.7830383063,17983.7342273400,56621.7444453258,55414.6480820058,38878.4439072071,56102.7921758273,37706.7798770355,22280.1723109145
6007943854,7127,-2,0,1606.7200300758,46354.3255060099,-4247.3535945907,17977.4435280826,56615.6240938239,55415.4876530866,38877.9937024246,56100.2612948882,37705.2954180231,22281.3039067190
6007943854,7127,-2,0,1590.2571362744,46356.0898220493,-4252.5978719214,17962.2095716603,56614.3586533543,55426.6089279828,38882.7269364888,56101.4537291768,37711.8903097012,22287.0227242258
6007943854,7127,-2,0,1597.7281021237,46358.9979015900,-4244.3968442627,17979.1713410314,56622.0729731400,55417.9455278449,38887.4966736434,56105.6272491871,37713.2652594422,22289.8456298888
6007943854,7127,-2,0,1611.0030593575,46358.2313366901,-4241.1724046047,17988.0902628027,56621.0508866069,55417.7995154830,38887.5331767338,56105.3108890697,37708.2278329575,22290.3566731553
6007973796,7128,-2,0,1604.1404783494,46360.4336898151,-4245.3337569181,17972.4791077788,56620.0166323769,55430.4782555725,38890.5507655459,56105.0310320427,37710.7708815935,22291.0258964806
6007973796,7128,-2,0,1604.3959999827,46365.8361472044,-4239.0187222670,17979.3660241806,56627.8891322214,55429.1519766188,38896.0262291162,56111.2852282097,37715.3824386894,22292.4251816152
6007973796,7128,-2,0,1611.3315871717,46361.4557763482,-4235.3684132201,17988.7838215216,56626.7818718105,55416.8626028276,38890.8914610570,56107.9756146739,37709.9799813000,22291.3909273853
6007973796,7128,-2,0,1602.6316839433,46360.2511743627,-4240.1016472842,17970.2645869570,56619.3230736580,55423.3723206279,38888.6282694479,56105.2257151919,37706.7068708546,22291.9019706518
6007973796,7128,-2,0,1603.7754474447,46365.8604825981,-4238.3008281544,17969.2303327271,56623.8981276635,55426.2804001686,38891.1469826902,56110.0806262243,37710.5396953538,22296.3188445986
6007973796,7128,-2,0,1616.9773984976,46363.7311356541,-4235.3927486138,17986.4597914284,56625.6381083091,55411.4358100446,38888.1293938782,56108.2554717008,37708.4590191971,22292.9848956691
6007973796,7128,-2,0,1607.9611351518,46358.4868583234,-4242.8272113726,17975.6427089528,56616.5610064792,55415.4633176930,38883.8706999901,56101.3685552990,37704.5288531233,22293.2525849992
6007973796,7128,-2,0,1589.6974222205,46360.2511743627,-4247.4266007717,17964.9716388391,56614.5046657162,55425.0149596990,38887.7278598830,56102.6096603750,37707.7411250845,22296.7568816842
6007989909,7129,-2,0,1598.4824993267,46358.7302122598,-4240.8682121841,17984.7198107827,56618.0698008853,55414.2465480107,38886.6692702594,56103.4979022431,37705.4779334755,22296.4891923541
6007989909,7129,-2,0,1606.6348561981,46353.2182455991,-4242.3891742870,17983.7828981273,56613.5069145767,55410.2068726655,38880.3785710019,56096.2216195429,37701.6694443699,22296.5500308382
6007989909,7129,-2,0,1597.3265681285,46351.3930910756,-4248.8867243904,17958.3889148579,56607.9584448254,55414.2587157075,38876.6795911678,56094.1531110830,37701.1462334065,22297.7789682173
6007989909,7129,-2,0,1595.8421091161,46348.9230486206,-4248.6190350603,17961.0779758557,56605.3302223117,55406.3862158631,38873.8080147175,56095.1751976162,37700.5378485654,22292.4495170089
