steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
1287535077,24977,-2,0,49741.9826492725,52354.9103681216,53906.3647192276,62029.1784227126,55069.3531815644,56840.9211681975,53514.6500554066,47154.7166030231,54546.9696215618,4237.4612570737
1287535077,24977,-2,0,49736.6288626704,52340.5889889610,53894.0145069523,62021.6952891665,55058.0007204286,56838.7431504662,53508.0429960318,47145.4448180440,54538.9997801428,4227.0457085932
1287535077,24977,-2,0,49737.3467567830,52336.4398043443,53891.7999861305,62022.6565372155,55058.9863038713,56849.0248542815,53510.7807278169,47148.5597484307,54541.6280026566,4228.5545029993
1287535077,24977,-2,0,49735.3025837167,52342.3046342130,53893.5886375635,62024.2383378025,55063.9993949623,56842.2231117575,53509.6369643156,47143.9116882443,54538.8172646905,4231.9371227160
1287535077,24977,-2,0,49726.6391835788,52335.9652641682,53888.5147079883,62019.3104205892,55057.8790434604,56841.2618637085,53501.8618060457,47138.8985971532,54533.7555028121,4232.6915199191
1287535077,24977,-2,0,49730.5815173494,52331.0251792581,53890.8144026879,62023.0094004234,55060.3247505218,56852.9428526585,53507.7388036112,47144.0577006062,54541.5793318693,4236.4148351469
1287535077,24977,-2,0,49736.6775334577,52342.2802988193,53899.0397657402,62030.7480556028,55072.6141243129,56858.2358007765,53511.5351250200,47151.3704863968,54548.1863912441,4247.7064577986
1287535077,24977,-2,0,49735.7162854087,52350.2379725415,53901.3881312270,62032.0621668597,55080.4987918542,56853.3078835632,53513.0195840324,47154.2420628470,54550.3035704913,4260.0810054675
1287547751,24978,-2,0,49732.5405165379,52340.9175167752,53893.7711530158,62029.2635965904,55075.1450052521,56842.6368134495,53513.7861489322,47154.2055597565,54546.2882305398,4251.2350898772
1287547751,24978,-2,0,49727.5639285373,52335.6245686572,53886.4583672253,62025.8079706927,55072.2369257114,56841.8337454592,53511.9244913183,47147.5863326848,54539.8393512236,4236.6338536897
1287547751,24978,-2,0,49721.5165832163,52338.6664928629,53885.4971191763,62025.8566414800,55072.2612611051,56848.8910096165,53508.6392131761,47144.0698683030,54539.8393512236,4240.4058397048
1287547751,24978,-2,0,49728.9632136720,52340.0049395134,53890.5345456610,62033.3762781165,55078.0287493991,56862.3606499995,53517.6189734314,47153.7918580645,54551.5325078704,4253.2549275498
1287547751,24978,-2,0,49736.2273286753,52343.0833668097,53895.6571460234,62038.6692262345,55085.1103489501,56868.7000200442,53524.3598774713,47161.0803084615,54560.0742310402,4256.5037026016
1287547751,24978,-2,0,49730.4111695939,52348.2303025658,53895.9735061408,62035.8341528748,55087.3370374687,56857.7004221163,53517.4242902823,47155.8603665244,54556.6672759297,4255.1774236479
1287547751,24978,-2,0,49722.6116759304,52342.3411373035,53889.9018254262,62028.0589946049,55079.9269101035,56855.6684167469,53512.1556775579,47152.4777468076,54553.4550039685,4253.3035983371
1287547751,24978,-2,0,49726.5175066106,52336.1477796206,53888.4173664138,62030.4195277886,55078.8561527831,56861.7644328552,53516.0858436317,47157.5395086860,54555.1463138269,4246.5505266004
1287578931,24979,-2,0,49730.6423558335,52346.0036140472,53892.0676754606,62035.6881405129,55082.8106542506,56860.4016508110,53517.6798119155,47157.0284654194,54554.3310781397,4247.7551285859
1287578931,24979,-2,0,49726.3471588550,52343.3997269271,53885.1077528779,62031.3077696566,55079.5132084115,56850.5093132939,53512.6545531277,47151.3704863968,54546.0692119969,4247.7307931922
1287578931,24979,-2,0,49730.6423558335,52341.6475785845,53883.9518216797,62033.8994890799,55080.1824317368,56855.8509321992,53518.3125321503,47157.0649685099,54549.4396640169,4250.9917359408
1287578931,24979,-2,0,49732.5405165379,52349.3132275830,53887.5412922425,62037.9878352124,55086.1324354832,56860.1217937841,53517.4486256759,47157.1379746908,54547.4198263443,4252.2206733199
1287578931,24979,-2,0,49727.8681209579,52351.1870528937,53887.6508015139,62033.2424334515,55088.9310057525,56859.0632041605,53511.6324665945,47152.6115914727,54545.0592931606,4251.9164808993
1287578931,24979,-2,0,49728.5130088895,52344.5313227316,53889.7314776706,62035.2866065178,55089.1378565985,56870.5130068709,53514.2850245019,47156.1523912482,54550.9119553325,4252.0138224739
1287578931,24979,-2,0,49735.3512545040,52348.3398118372,53895.4624628742,62041.5773057752,55095.9882699098,56873.4575895020,53517.8014888838,47162.9297983786,54555.9007110299,4252.4275241659
1287578931,24979,-2,0,49734.2074910027,52357.3074043957,53894.3065316761,62039.6183065867,55098.8111755727,56856.2159631039,53515.8059866048,47157.5273409892,54552.8101160369,4253.2184244594
1287610177,24980,-2,0,49730.1313125670,52352.5376672411,53887.8576523599,62032.1473407374,55094.3943016260,56854.4029762773,53511.9731621056,47154.9721246564,54548.5027513615,4252.8777289483
1287610177,24980,-2,0,49733.4530937996,52351.3939037397,53889.4151175532,62035.6029666351,55096.4263069954,56867.0208778827,53515.8181543016,47161.1168115519,54552.9317930051,4252.4761949532
1287610177,24980,-2,0,49735.0592297803,52361.8946260979,53893.3331159302,62038.4745430854,55103.0577017639,56862.8960286597,53516.5968868983,47159.7905325982,54551.9340418656,4252.9385674324
