steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
9818380618,23715,-2,0,10930.2420560488,42154.1339043050,40666.4139491575,57432.1495568242,64956.8844583712,54515.5282929714,55411.0586114431,55219.2592064230,57942.4019230943,12239.4497311069
9818380618,23715,-2,0,10936.7152707586,42157.8815549264,40656.7406301832,57426.5524162857,64963.8078778634,54489.1973970465,55418.2132171750,55231.6094186983,57934.2739016166,12237.7827566421
9818380618,23715,-2,0,11119.0238722567,42178.4692979508,40701.3352390393,57428.6330924424,64989.4695504630,54514.9077404334,55410.1582018782,55261.3837728241,57945.7237043269,12225.8827491493
9818380618,23715,-2,0,11196.6051071998,42182.0222654231,40724.6363784553,57411.5253107093,64991.1608603214,54568.7132957844,55390.9210732011,55256.5410294885,57947.0986540679,12224.4712963178
9818380618,23715,-2,0,11041.1262771963,42158.4534366771,40691.9174416984,57383.5031049261,64958.9651345279,54594.6426577141,55376.2711662263,55217.8112505011,57943.6186927766,12229.3748781375
9818380618,23715,-2,0,10879.3932510257,42144.7404423576,40668.8474885221,57393.3224362622,64946.5054129812,54564.1017386886,55389.2906018268,55214.0879352733,57967.6620616987,12234.1202798984
9818380618,23715,-2,0,10928.3073922539,42159.3295108484,40692.4893234490,57423.7903491069,64965.4140138441,54543.9276973561,55415.2199637565,55240.7960297996,57967.3578692781,12233.3658826954
9818380618,23715,-2,0,11095.7714036281,42183.0930227436,40750.0790325120,57447.9188919067,64989.8102459741,54571.1711705427,55425.3678229069,55256.9912342710,57961.0550023239,12218.6429695397
9818438266,23716,-2,0,11194.9016296446,42184.3584632131,40753.3643106542,57444.5606075836,64986.7439863747,54525.6883198185,55414.6724173995,55246.4661765191,57934.5172555530,12217.1585105273
9818438266,23716,-2,0,11103.1693632965,42153.6836995225,40693.0368698061,57420.2738847250,64953.3923293830,54490.4019990320,55399.8156595787,55216.4606361538,57898.8050653777,12222.0620923469
9818438266,23716,-2,0,10902.1225086910,42122.8507557732,40630.8842744345,57384.4765206719,64920.2475232373,54515.2119328540,55384.3140138262,55186.5767727566,57887.6351196942,12232.1126099227
9818438266,23716,-2,0,10875.6821034947,42141.6863504551,40640.4359164405,57405.5631392661,64942.8672716311,54582.4262901039,55407.6151532422,55213.8202459432,57924.5884149455,12246.7990199879
9818438266,23716,-2,0,11079.6735407313,42186.1349469493,40722.6773792668,57458.2492665094,64989.7007367027,54556.2170711473,55436.6716132554,55260.9579034353,57962.4542874585,12242.4551522222
9818438266,23716,-2,0,11194.6461080113,42187.1570334824,40736.8892491560,57442.6867822729,64983.5438821102,54518.7527326294,55415.3416407247,55246.9650520889,57945.3221703318,12230.5429770325
9818438266,23716,-2,0,11056.0803765917,42141.4551642154,40668.0565882286,57375.8252882308,64927.9375076294,54515.4917898809,55366.4396671933,55182.8777929224,57903.4896286545,12212.6442950059
9818438266,23716,-2,0,10874.6843523552,42103.2364284946,40602.8499009544,57348.0586040809,64892.6268514492,54496.8265429545,55348.3949728049,55156.2305368802,57883.0600656888,12208.2639241497
9818459904,23717,-2,0,10877.6289349864,42119.6263161151,40633.8653601561,57377.7356166320,64914.9667428161,54530.5553985477,55372.3410001525,55188.0855671627,57905.8014910509,12220.7358133932
9818459904,23717,-2,0,11016.1216602251,42159.5972001785,40711.3614212214,57412.0120185822,64957.0061353394,54551.3256570245,55398.2946974758,55222.6904969271,57931.2806481981,12235.0450248570
9818459904,23717,-2,0,11150.5503747250,42181.4990544597,40755.7856823220,57422.6222502118,64974.8804819723,54549.4031609264,55396.4208721651,55231.7189279697,57944.8111270652,12237.5637380993
9818459904,23717,-2,0,11118.8170214108,42158.7576290977,40703.4402505897,57414.5672349151,64945.4589910544,54490.2194835796,55370.3576655703,55200.7521395553,57920.4392303289,12234.3392984413
9818459904,23717,-2,0,10922.7467548059,42113.4572938259,40596.8998972080,57367.8554468118,64897.0923961832,54471.2743796263,55337.8455796594,55151.7284890557,57882.7923763587,12230.0441014628
9818459904,23717,-2,0,10834.1537542380,42101.9223172377,40562.1611227785,57350.7841681692,64890.7043553512,54525.3962950948,55333.5625503778,55153.9916806648,57886.6252008579,12220.7723164837
9818459904,23717,-2,0,10994.9620354500,42142.5624246263,40658.1277476211,57391.4607786483,64938.0731990829,54544.8402746178,55366.0746362887,55207.3470312334,57926.2553894102,12212.0724132553
9818459904,23717,-2,0,11153.1785972387,42169.6598854510,40709.9256329963,57404.6748973980,64964.7812936093,54580.2969431599,55373.9593038299,55225.1118685949,57937.7903659984,12212.2062579203
9818465523,23718,-2,0,11111.7354218598,42169.3313576368,40690.4451503828,57397.8488194803,64959.6708609436,54598.8891839053,55370.2968270862,55211.7760728769,57954.0585766507,12219.5677144982
9818465523,23718,-2,0,10969.5072136964,42160.8018021639,40672.1084312706,57407.2301137308,64950.3990759645,54542.1268782263,55380.3838477524,55208.2352731015,57951.1748325036,12230.0562691596
9818465523,23718,-2,0,10909.6178099339,42161.2155038559,40675.6492310461,57417.9498546318,64957.1521477013,54521.9285015002,55394.8634069717,55222.8000061985,57949.1184917405,12238.6588308134
9818465523,23718,-2,0,11026.7440595516,42187.7289152331,40708.9035464632,57448.1622458432,64988.7394886536,54556.7281144138,55416.4123980452,55251.2115782801,57962.8071506664,12232.1977838004
9818465523,23718,-2,0,11158.1065144520,42195.8326013172,40736.4147089799,57426.3090623492,64995.0301879111,54529.6549889828,55398.4528775345,55250.4206779866,57940.4794269963,12216.4892872020
9818465523,23718,-2,0,11142.7995518488,42171.9474124537,40713.9044698574,57386.7762153715,64965.7547093551,54513.2529336655,55367.0115489440,55218.0302690439,57897.5882956954,12220.1152608552
9818465523,23718,-2,0,10957.4125230544,42139.3136495746,40681.3072100688,57361.2240520433,64927.8158306612,54524.2890346839,55344.7811668485,55177.9255403155,57883.6076120458,12220.5776333345
9818465523,23718,-2,0,10854.2182862991,42128.9711072751,40645.5220137125,57385.7541288383,64922.3647024845,54520.6508933338,55358.3968195934,55179.3369931470,57894.1691728881,12225.0918488558
9818483975,23719,-2,0,11007.4217569967,42160.3881004719,40661.4373611569,57452.1654180979,64964.9029705775,54548.4297451806,55400.2293612707,55229.4314009670,57927.0462897037,12227.2942019808
9818483975,23719,-2,0,11168.6315722039,42186.4999778540,40710.6921978962,57454.4042743134,64992.8521701798,54597.7940911913,55412.2875488222,55252.4770187497,57954.7764707632,12218.4726217841
9818483975,23719,-2,0,11152.0713368279,42190.6856655611,40720.8157216529,57423.4861566863,64991.5502266197,54636.4265286041,55408.0896934183,55245.5170961670,57974.0135994403,12218.9958327475
9818483975,23719,-2,0,11021.3781052526,42175.0015043563,40687.9507725341,57412.8515896630,64970.9989866858,54540.4720714584,55408.6129043817,55234.1768027280,57960.1059219717,12230.5794801230
9818483975,23719,-2,0,10934.7684392669,42163.1258322571,40664.6496331182,57428.5357508678,64961.3013323179,54522.6463956128,55419.8071854588,55232.6436729283,57946.9891447965,12236.9310178645
9818483975,23719,-2,0,10973.7659075845,42170.1587610208,40680.3581297166,57433.5123388684,64969.5510307639,54513.4232814210,55425.0027920022,55244.0204694577,57947.5366911536,12228.6448163281
9818483975,23719,-2,0,11112.8183468770,42179.1628566697,40701.3109036457,57419.7020029743,64979.1391758603,54526.6130647771,55403.8918380144,55252.1484909354,57938.5812662919,12216.6352995639
9818483975,23719,-2,0,11155.2227703050,42168.0172463799,40707.1757335143,57401.6938116764,64968.9913167100,54557.3486669518,55384.2166722517,55233.8361072169,57928.0927116305,12212.5226180377
9818513203,23720,-2,0,10998.6488475874,42139.7760220539,40680.3824651102,57386.0583212589,64936.1872060754,54545.7771872732,55375.9426384121,55194.6317880534,57916.1683687440,12217.4992060383
9818513203,23720,-2,0,10867.6635912884,42130.5894109526,40647.4201744169,57410.1990317556,64932.0258537619,54522.0866815589,55395.4109533288,55196.6272903324,57929.0296242859,12222.9625019118
9818513203,23720,-2,0,10951.2191653716,42151.4083402166,40667.8619050794,57435.4835057537,64961.1066491687,54524.4837178330,55406.2523711980,55233.3859024345,57950.3474291197,12219.8475715251
9818513203,23720,-2,0,11120.0702941835,42180.1727755060,40719.6962935451,57438.9999701355,64988.4474639299,54588.6926539677,55405.5588124791,55256.6992095472,57967.9175833320,12218.5699633587
