steady_timestamp,sequence,battery,flags,TMS-ch1
5361031280,4171,-2,0,32169.0000000000
5361079940,4172,-2,0,63420.0000000000
5361107524,4173,-2,0,94671.0000000000
5361134145,4174,-2,0,125922.0000000000
5361193950,4175,-2,0,157173.0000000000
5361201157,4176,-2,0,188424.0000000000
5361220063,4177,-2,0,219675.0000000000
5361255066,4178,-2,0,250926.0000000000
5361282729,4179,-2,0,282177.0000000000
5361319594,4180,-2,0,313428.0000000000
5361348721,4181,-2,0,344679.0000000000
5361391140,4182,-2,0,375930.0000000000
5361434488,4183,-2,0,407181.0000000000
5361440509,4184,-2,0,438432.0000000000
5361478767,4185,-2,0,469683.0000000000
5361510746,4186,-2,0,500934.0000000000
5361558961,4187,-2,0,532185.0000000000
5361564503,4188,-2,0,563436.0000000000
5361604008,4189,-2,0,594687.0000000000
5361645268,4190,-2,0,625938.0000000000
5361672863,4191,-2,0,657189.0000000000
5361697284,4192,-2,0,688440.0000000000
5361725458,4193,-2,0,719691.0000000000
5361757425,4194,-2,0,750942.0000000000
5361799154,4195,-2,0,782193.0000000000
5361815766,4196,-2,0,813444.0000000000
5361844546,4197,-2,0,844695.0000000000
5361904352,4198,-2,0,875946.0000000000
5361915061,4199,-2,0,907197.0000000000
5361945306,4200,-2,0,938448.0000000000
5361974357,4201,-2,0,969699.0000000000
5362027727,4202,1,0,1000950.0000000000
5362040368,4203,1,0,1032201.0000000000
5362085122,4204,1,0,1063452.0000000000
5362105066,4205,1,0,1094703.0000000000
5362150173,4206,1,0,1125954.0000000000
5362163094,4207,1,0,1157205.0000000000
5362191301,4208,1,0,1188456.0000000000
5362217608,4209,1,0,1219707.0000000000
5362250385,4210,1,0,1250958.0000000000
5362303715,4211,1,0,1282209.0000000000
5362320240,4212,1,0,1313460.0000000000
5362347663,4213,1,0,1344711.0000000000
5362393289,4214,1,0,1375962.0000000000
5362415336,4215,1,0,1407213.0000000000
5362442694,4216,1,0,1438464.0000000000
5362506580,4217,1,0,1469715.0000000000
5362518056,4218,1,0,1500966.0000000000
5362532704,4219,1,0,1532217.0000000000
5362565159,4220,1,0,1563468.0000000000
5362622939,4221,1,0,1594719.0000000000
5362633050,4222,1,0,1625970.0000000000
5362660492,4223,1,0,1657221.0000000000
5362691333,4224,1,0,1688472.0000000000
5362745423,4225,1,0,1719723.0000000000
5362754762,4226,1,0,1750974.0000000000
5362784049,4227,1,0,1782225.0000000000
5362819903,4228,1,0,1813476.0000000000
5362882586,4229,1,0,1844727.0000000000
5362884839,4230,1,0,1875978.0000000000
5362975107,4231,1,0,1907229.0000000000
5362987606,4232,1,0,1938480.0000000000
5362996564,4233,1,0,1969731.0000000000
5363016499,4234,0,0,2000982.0000000000
5363033336,4235,0,0,2032233.0000000000
5363085160,4236,0,0,2063484.0000000000
5363103854,4237,0,0,2094735.0000000000
5363135152,4238,0,0,2125986.0000000000
5363157602,4239,0,0,2157237.0000000000
5363223455,4240,0,0,2188488.0000000000
5363227537,4241,0,0,2219739.0000000000
5363254958,4242,0,0,2250990.0000000000
5363284064,4243,0,0,2282241.0000000000
5363334048,4244,0,0,2313492.0000000000
5363356525,4245,0,0,2344743.0000000000
5363385107,4246,0,0,2375994.0000000000
5363413614,4247,0,0,2407245.0000000000
5363449535,4248,0,0,2438496.0000000000
5363476372,4249,0,0,2469747.0000000000
5363507735,4250,0,0,2500998.0000000000
5363610116,4251,0,0,2532249.0000000000
5363629482,4252,0,0,2563500.0000000000
5363639192,4253,0,0,2594751.0000000000
5363644661,4254,0,0,2626002.0000000000
5363687090,4255,0,0,2657253.0000000000
5363706311,4256,0,0,2688504.0000000000
5363726440,4257,0,0,2719755.0000000000
5363758133,4258,0,0,2751006.0000000000
5363808101,4259,0,0,2782257.0000000000
5363822583,4260,0,0,2813508.0000000000
5363845552,4261,0,0,2844759.0000000000
5363886603,4262,0,0,2876010.0000000000
5363923128,4263,0,0,2907261.0000000000
5363953585,4264,0,0,2938512.0000000000
5363974143,4265,0,0,2969763.0000000000
5364031524,4266,0,0,3001014.0000000000
5364043895,4267,0,0,3032265.0000000000
5364075352,4268,0,0,3063516.0000000000
5364104339,4269,0,0,3094767.0000000000
5364121344,4270,0,0,3126018.0000000000
5364165082,4271,0,0,3157269.0000000000
5364201536,4272,0,0,3188520.0000000000
5364223965,4273,0,0,3219771.0000000000
5364276933,4274,0,0,3251022.0000000000
5364286452,4275,0,0,3282273.0000000000
5364319384,4276,0,0,3313524.0000000000
5364352255,4277,0,0,3344775.0000000000
5364388355,4278,0,0,3376026.0000000000
5364410301,4279,0,0,3407277.0000000000
5364441558,4280,0,0,3438528.0000000000
5364470634,4281,0,0,3469779.0000000000
5364508838,4282,0,0,3501030.0000000000
5364537329,4283,0,0,3532281.0000000000
5364573435,4284,0,0,3563532.0000000000
5364599305,4285,0,0,3594783.0000000000
5364635064,4286,0,0,3626034.0000000000
5364667487,4287,0,0,3657285.0000000000
5364698084,4288,0,0,3688536.0000000000
5364741483,4289,0,0,3719787.0000000000
5364748511,4290,0,0,3751038.0000000000
5364780396,4291,0,0,3782289.0000000000
5364839013,4292,0,0,3813540.0000000000
5364881442,4293,0,0,3844791.0000000000
5364886696,4294,0,0,3876042.0000000000
5364913498,4295,0,0,3907293.0000000000
5364993152,4296,0,0,3938544.0000000000
5365001566,4297,0,0,3969795.0000000000
5365011627,4298,0,0,4001046.0000000000
5365033272,4299,0,0,4032297.0000000000
5365103364,4300,0,0,4063548.0000000000
5365112846,4301,0,0,4094799.0000000000
5365128875,4302,0,0,4126050.0000000000
