steady_timestamp,sequence,battery,flags,TMS-ch1
5390385325,4619,-2,0,32169.0000000000
5390411593,4620,-2,0,63420.0000000000
5390450437,4621,-2,0,94671.0000000000
5390482772,4622,-2,0,125922.0000000000
5390504007,4623,-2,0,157173.0000000000
5390534488,4624,-2,0,188424.0000000000
5390570469,4625,-2,0,219675.0000000000
5390619135,4626,-2,0,250926.0000000000
5390625439,4627,-2,0,282177.0000000000
5390655506,4628,-2,0,313428.0000000000
5390693301,4629,-2,0,344679.0000000000
5390731544,4630,-2,0,375930.0000000000
5390755395,4631,-2,0,407181.0000000000
5390785958,4632,-2,0,438432.0000000000
5390843904,4633,-2,0,469683.0000000000
5390852105,4634,-2,0,500934.0000000000
5390893070,4635,-2,0,532185.0000000000
5390909187,4636,-2,0,563436.0000000000
5390962621,4637,-2,0,594687.0000000000
5390981519,4638,-2,0,625938.0000000000
5391002114,4639,-2,0,657189.0000000000
5391030545,4640,-2,0,688440.0000000000
5391106808,4641,-2,0,719691.0000000000
5391146458,4642,-2,0,750942.0000000000
5391164038,4643,-2,0,782193.0000000000
5391170010,4644,-2,0,813444.0000000000
5391211249,4645,-2,0,844695.0000000000
5391231670,4646,-2,0,875946.0000000000
5391271616,4647,-2,0,907197.0000000000
5391286417,4648,-2,0,938448.0000000000
5391340398,4649,-2,0,969699.0000000000
5391349100,4650,1,0,1000950.0000000000
5391381679,4651,1,0,1032201.0000000000
5391413260,4652,1,0,1063452.0000000000
5391458780,4653,1,0,1094703.0000000000
5391475436,4654,1,0,1125954.0000000000
5391505349,4655,1,0,1157205.0000000000
5391558375,4656,1,0,1188456.0000000000
5391572512,4657,1,0,1219707.0000000000
5391600756,4658,1,0,1250958.0000000000
5391632060,4659,1,0,1282209.0000000000
5391730252,4660,1,0,1313460.0000000000
5391742164,4661,1,0,1344711.0000000000
5391752109,4662,1,0,1375962.0000000000
5391766943,4663,1,0,1407213.0000000000
5391803763,4664,1,0,1438464.0000000000
5391829480,4665,1,0,1469715.0000000000
5391842727,4666,1,0,1500966.0000000000
5391882734,4667,1,0,1532217.0000000000
5391923916,4668,1,0,1563468.0000000000
5391949216,4669,1,0,1594719.0000000000
5391976056,4670,1,0,1625970.0000000000
5391998486,4671,1,0,1657221.0000000000
5392036355,4672,1,0,1688472.0000000000
5392093334,4673,1,0,1719723.0000000000
5392109565,4674,1,0,1750974.0000000000
5392160145,4675,1,0,1782225.0000000000
5392175447,4676,1,0,1813476.0000000000
5392194223,4677,1,0,1844727.0000000000
5392223429,4678,1,0,1875978.0000000000
5392276438,4679,1,0,1907229.0000000000
5392287078,4680,1,0,1938480.0000000000
5392317119,4681,1,0,1969731.0000000000
5392410270,4682,0,0,2000982.0000000000
5392416582,4683,0,0,2032233.0000000000
5392424811,4684,0,0,2063484.0000000000
5392447885,4685,0,0,2094735.0000000000
5392485390,4686,0,0,2125986.0000000000
5392526292,4687,0,0,2157237.0000000000
5392533336,4688,0,0,2188488.0000000000
5392576588,4689,0,0,2219739.0000000000
5392641547,4690,0,0,2250990.0000000000
5392646740,4691,0,0,2282241.0000000000
5392655312,4692,0,0,2313492.0000000000
5392691475,4693,0,0,2344743.0000000000
5392751744,4694,0,0,2375994.0000000000
5392755223,4695,0,0,2407245.0000000000
5392787610,4696,0,0,2438496.0000000000
5392824196,4697,0,0,2469747.0000000000
5392864143,4698,0,0,2500998.0000000000
5392886673,4699,0,0,2532249.0000000000
5392912167,4700,0,0,2563500.0000000000
5392940645,4701,0,0,2594751.0000000000
5393030240,4702,0,0,2626002.0000000000
5393039346,4703,0,0,2657253.0000000000
5393044354,4704,0,0,2688504.0000000000
