steady_timestamp,sequence,battery,flags,TMS-ch1
707875242,7034,-2,0,32169.0000000000
707913723,7035,-2,0,63420.0000000000
707950037,7036,-2,0,94671.0000000000
707982973,7037,-2,0,125922.0000000000
707991793,7038,-2,0,157173.0000000000
708023795,7039,-2,0,188424.0000000000
708076326,7040,-2,0,219675.0000000000
708085119,7041,-2,0,250926.0000000000
708119936,7042,-2,0,282177.0000000000
708156319,7043,-2,0,313428.0000000000
708196720,7044,-2,0,344679.0000000000
708226368,7045,-2,0,375930.0000000000
708263767,7046,-2,0,407181.0000000000
708296334,7047,-2,0,438432.0000000000
708313827,7048,-2,0,469683.0000000000
708351468,7049,-2,0,500934.0000000000
708388902,7050,-2,0,532185.0000000000
708397543,7051,-2,0,563436.0000000000
708437809,7052,-2,0,594687.0000000000
708491383,7053,-2,0,625938.0000000000
708497691,7054,-2,0,657189.0000000000
708533797,7055,-2,0,688440.0000000000
708600165,7056,-2,0,719691.0000000000
708607590,7057,-2,0,750942.0000000000
708648901,7058,-2,0,782193.0000000000
708654967,7059,-2,0,813444.0000000000
708710009,7060,-2,0,844695.0000000000
708721353,7061,-2,0,875946.0000000000
708761223,7062,-2,0,907197.0000000000
708813789,7063,-2,0,938448.0000000000
708820038,7064,-2,0,969699.0000000000
708907672,7065,5,0,1000950.0000000000
708925079,7066,5,0,1032201.0000000000
708930174,7067,5,0,1063452.0000000000
708937621,7068,5,0,1094703.0000000000
708981330,7069,5,0,1125954.0000000000
709015185,7070,5,0,1157205.0000000000
709021472,7071,5,0,1188456.0000000000
709065173,7072,5,0,1219707.0000000000
709101216,7073,5,0,1250958.0000000000
709142622,7074,5,0,1282209.0000000000
709151317,7075,5,0,1313460.0000000000
709188719,7076,5,0,1344711.0000000000
709223932,7077,5,0,1375962.0000000000
709263759,7078,5,0,1407213.0000000000
709272708,7079,5,0,1438464.0000000000
709321225,7080,5,0,1469715.0000000000
709358839,7081,5,0,1500966.0000000000
709372670,7082,5,0,1532217.0000000000
709425082,7083,5,0,1563468.0000000000
709432622,7084,5,0,1594719.0000000000
709471348,7085,5,0,1625970.0000000000
709505134,7086,5,0,1657221.0000000000
709538909,7087,5,0,1688472.0000000000
709580406,7088,5,0,1719723.0000000000
709582567,7089,5,0,1750974.0000000000
709623833,7090,5,0,1782225.0000000000
709660109,7091,5,0,1813476.0000000000
709692621,7092,5,0,1844727.0000000000
709727603,7093,5,0,1875978.0000000000
709771323,7094,5,0,1907229.0000000000
709798838,7095,5,0,1938480.0000000000
709807069,7096,5,0,1969731.0000000000
709842598,7097,4,0,2000982.0000000000
709878717,7098,4,0,2032233.0000000000
709920134,7099,4,0,2063484.0000000000
709927659,7100,4,0,2094735.0000000000
709967658,7101,4,0,2125986.0000000000
710001368,7102,4,0,2157237.0000000000
710058789,7103,4,0,2188488.0000000000
710067625,7104,4,0,2219739.0000000000
710106224,7105,4,0,2250990.0000000000
710112472,7106,4,0,2282241.0000000000
710216469,7107,4,0,2313492.0000000000
710227711,7108,4,0,2344743.0000000000
710235359,7109,4,0,2375994.0000000000
710241269,7110,4,0,2407245.0000000000
710277524,7111,4,0,2438496.0000000000
710316684,7112,4,0,2469747.0000000000
710380103,7113,4,0,2500998.0000000000
710388766,7114,4,0,2532249.0000000000
710396175,7115,4,0,2563500.0000000000
710441362,7116,4,0,2594751.0000000000
710480191,7117,4,0,2626002.0000000000
710518949,7118,4,0,2657253.0000000000
710525033,7119,4,0,2688504.0000000000
710561320,7120,4,0,2719755.0000000000
710593845,7121,4,0,2751006.0000000000
710641727,7122,4,0,2782257.0000000000
710651442,7123,4,0,2813508.0000000000
710687593,7124,4,0,2844759.0000000000
710721530,7125,4,0,2876010.0000000000
710791470,7126,4,0,2907261.0000000000
710796606,7127,4,0,2938512.0000000000
710804123,7128,4,0,2969763.0000000000
710868845,7129,4,0,3001014.0000000000
710873848,7130,4,0,3032265.0000000000
710917456,7131,4,0,3063516.0000000000
710954150,7132,4,0,3094767.0000000000
710962878,7133,4,0,3126018.0000000000
711011588,7134,4,0,3157269.0000000000
711074023,7135,4,0,3188520.0000000000
711081260,7136,4,0,3219771.0000000000
711093965,7137,4,0,3251022.0000000000
711129095,7138,4,0,3282273.0000000000
711166732,7139,4,0,3313524.0000000000
711209989,7140,4,0,3344775.0000000000
711216274,7141,4,0,3376026.0000000000
711252930,7142,4,0,3407277.0000000000
711291616,7143,4,0,3438528.0000000000
711319015,7144,4,0,3469779.0000000000
711366558,7145,4,0,3501030.0000000000
711375112,7146,4,0,3532281.0000000000
711430531,7147,4,0,3563532.0000000000
711460177,7148,4,0,3594783.0000000000
711466240,7149,4,0,3626034.0000000000
711531441,7150,4,0,3657285.0000000000
711537860,7151,4,0,3688536.0000000000
711572887,7152,4,0,3719787.0000000000
711605065,7153,4,0,3751038.0000000000
711623885,7154,4,0,3782289.0000000000
711675197,7155,4,0,3813540.0000000000
711680163,7156,4,0,3844791.0000000000
711713881,7157,4,0,3876042.0000000000
711753818,7158,4,0,3907293.0000000000
711795282,7159,4,0,3938544.0000000000
711815182,7160,4,0,3969795.0000000000
711851453,7161,4,0,4001046.0000000000
711887606,7162,4,0,4032297.0000000000
711898114,7163,4,0,4063548.0000000000
711943956,7164,4,0,4094799.0000000000
711986810,7165,4,0,4126050.0000000000
711997660,7166,4,0,4157301.0000000000
712055224,7167,4,0,4188552.0000000000
712077646,7168,4,0,4219803.0000000000
712086444,7169,4,0,4251054.0000000000
712121383,7170,4,0,4282305.0000000000
712158951,7171,4,0,4313556.0000000000
712203780,7172,4,0,4344807.0000000000
712210149,7173,4,0,4376058.0000000000
712267642,7174,4,0,4407309.0000000000
712280208,7175,4,0,4438560.0000000000
712316312,7176,4,0,4469811.0000000000
712361428,7177,4,0,4501062.0000000000
712368940,7178,4,0,4532313.0000000000
712405018,7179,4,0,4563564.0000000000
712438714,7180,4,0,4594815.0000000000
712478950,7181,4,0,4626066.0000000000
712511625,7182,4,0,4657317.0000000000
712520034,7183,4,0,4688568.0000000000
712557677,7184,4,0,4719819.0000000000
712591418,7185,4,0,4751070.0000000000
712626242,7186,4,0,4782321.0000000000
712662515,7187,4,0,4813572.0000000000
712700436,7188,4,0,4844823.0000000000
712728946,7189,4,0,4876074.0000000000
712753920,7190,4,0,4907325.0000000000
712792600,7191,4,0,4938576.0000000000
712840044,7192,4,0,4969827.0000000000
712850423,7193,4,0,5001078.0000000000
712883014,7194,4,0,5032329.0000000000
712922766,7195,4,0,5063580.0000000000
712928761,7196,4,0,5094831.0000000000
712991626,7197,4,0,5126082.0000000000
712997660,7198,4,0,5157333.0000000000
713032615,7199,4,0,5188584.0000000000
713069162,7200,4,0,5219835.0000000000
713082813,7201,4,0,5251086.0000000000
713141723,7202,4,0,5282337.0000000000
713147868,7203,4,0,5313588.0000000000
713183815,7204,4,0,5344839.0000000000
713221369,7205,4,0,5376090.0000000000
713257803,7206,4,0,5407341.0000000000
713294998,7207,4,0,5438592.0000000000
713301407,7208,4,0,5469843.0000000000
713338756,7209,4,0,5501094.0000000000
713380094,7210,4,0,5532345.0000000000
713417718,7211,4,0,5563596.0000000000
713447785,7212,4,0,5594847.0000000000
713455089,7213,4,0,5626098.0000000000
713516530,7214,4,0,5657349.0000000000
713522715,7215,4,0,5688600.0000000000
713565154,7216,4,0,5719851.0000000000
713611421,7217,4,0,5751102.0000000000
713620110,7218,4,0,5782353.0000000000
713658063,7219,4,0,5813604.0000000000
713724297,7220,4,0,5844855.0000000000
713728983,7221,4,0,5876106.0000000000
713770138,7222,4,0,5907357.0000000000
713778876,7223,4,0,5938608.0000000000
713827696,7224,4,0,5969859.0000000000
713832859,7225,4,0,6001110.0000000000
713868781,7226,4,0,6032361.0000000000
713912640,7227,4,0,6063612.0000000000
713950177,7228,4,0,6094863.0000000000
714003956,7229,4,0,6126114.0000000000
714047540,7230,4,0,6157365.0000000000
714055183,7231,4,0,6188616.0000000000
714064393,7232,4,0,6219867.0000000000
714110168,7233,4,0,6251118.0000000000
714113825,7234,4,0,6282369.0000000000
714155258,7235,4,0,6313620.0000000000
714193733,7236,4,0,6344871.0000000000
714229971,7237,4,0,6376122.0000000000
714237595,7238,4,0,6407373.0000000000
714273827,7239,4,0,6438624.0000000000
714312837,7240,4,0,6469875.0000000000
714375236,7241,4,0,6501126.0000000000
714380021,7242,4,0,6532377.0000000000
714419163,7243,4,0,6563628.0000000000
714429038,7244,4,0,6594879.0000000000
714464098,7245,4,0,6626130.0000000000
714501480,7246,4,0,6657381.0000000000
714533950,7247,4,0,6688632.0000000000
714569172,7248,4,0,6719883.0000000000
714590403,7249,4,0,6751134.0000000000
714652631,7250,4,0,6782385.0000000000
714652665,7251,4,0,6813636.0000000000
714695083,7252,4,0,6844887.0000000000
714720190,7253,4,0,6876138.0000000000
