steady_timestamp,sequence,battery,flags,TMS-ch1
9641849858,22020,-2,0,32169.0000000000
9641885390,22021,-2,0,63420.0000000000
9641947639,22022,-2,0,94671.0000000000
9641952950,22023,-2,0,125922.0000000000
9641980486,22024,-2,0,157173.0000000000
9642013932,22025,-2,0,188424.0000000000
9642067899,22026,-2,0,219675.0000000000
9642078049,22027,-2,0,250926.0000000000
9642108447,22028,-2,0,282177.0000000000
9642139825,22029,-2,0,313428.0000000000
9642196050,22030,-2,0,344679.0000000000
9642201495,22031,-2,0,375930.0000000000
9642243889,22032,-2,0,407181.0000000000
9642249788,22033,-2,0,438432.0000000000
9642323948,22034,-2,0,469683.0000000000
9642333825,22035,-2,0,500934.0000000000
9642351806,22036,-2,0,532185.0000000000
9642382098,22037,-2,0,563436.0000000000
9642455415,22038,-2,0,594687.0000000000
9642459132,22039,-2,0,625938.0000000000
9642482804,22040,-2,0,657189.0000000000
9642511665,22041,-2,0,688440.0000000000
9642556680,22042,-2,0,719691.0000000000
9642570259,22043,-2,0,750942.0000000000
9642608131,22044,-2,0,782193.0000000000
9642657158,22045,-2,0,813444.0000000000
9642674850,22046,-2,0,844695.0000000000
9642699366,22047,-2,0,875946.0000000000
9642730409,22048,-2,0,907197.0000000000
9642778232,22049,-2,0,938448.0000000000
9642783966,22050,-2,0,969699.0000000000
9642824221,22051,2,0,1000950.0000000000
9642890705,22052,2,0,1032201.0000000000
9642895530,22053,2,0,1063452.0000000000
9642943647,22054,2,0,1094703.0000000000
9642980610,22055,2,0,1125954.0000000000
9643012121,22056,2,0,1157205.0000000000
9643019238,22057,2,0,1188456.0000000000
9643052914,22058,2,0,1219707.0000000000
9643075241,22059,2,0,1250958.0000000000
9643121484,22060,2,0,1282209.0000000000
9643165433,22061,2,0,1313460.0000000000
9643171390,22062,2,0,1344711.0000000000
9643189503,22063,2,0,1375962.0000000000
9643257138,22064,2,0,1407213.0000000000
9643264263,22065,2,0,1438464.0000000000
9643297236,22066,2,0,1469715.0000000000
9643314946,22067,2,0,1500966.0000000000
9643380985,22068,2,0,1532217.0000000000
9643384629,22069,2,0,1563468.0000000000
9643415421,22070,2,0,1594719.0000000000
9643453424,22071,2,0,1625970.0000000000
9643485482,22072,2,0,1657221.0000000000
9643516448,22073,2,0,1688472.0000000000
9643547182,22074,2,0,1719723.0000000000
9643598995,22075,2,0,1750974.0000000000
9643615836,22076,2,0,1782225.0000000000
9643642983,22077,2,0,1813476.0000000000
9643735609,22078,2,0,1844727.0000000000
9643738942,22079,2,0,1875978.0000000000
9643766008,22080,2,0,1907229.0000000000
9643782864,22081,2,0,1938480.0000000000
9643794140,22082,2,0,1969731.0000000000
9643870860,22083,2,0,2000982.0000000000
9643876343,22084,2,0,2032233.0000000000
9643894106,22085,2,0,2063484.0000000000
9643915798,22086,2,0,2094735.0000000000
9643974464,22087,2,0,2125986.0000000000
9643985446,22088,2,0,2157237.0000000000
