steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
9397448793,18961,-2,0,20673.7808086529,46157.0019666323,47559.2073485081,59680.1558802564,70184.4312059276,57055.2186446431,58810.2507312938,59248.7623570958,64392.9238783246,11325.0594825596
9397448793,18961,-2,0,20408.0018069494,46119.8539882319,47475.0068864934,59676.2865526667,70156.0683046334,57054.6224274988,58816.0182195879,59224.9258390197,64397.5354354205,11331.8125542964
9397448793,18961,-2,0,20242.7158133065,46103.7196222446,47461.2208859930,59667.2702893209,70147.6969292192,57028.1820223025,58817.1133123019,59234.2706301797,64404.1911655827,11332.7859700422
9397448793,18961,-2,0,20343.1479828831,46127.0207616606,47510.5122258227,59653.2165994904,70170.1463298575,57008.7380427795,58803.0717901683,59254.7488639327,64398.2776649267,11331.0094863060
9397448793,18961,-2,0,20612.4677843621,46166.8821364525,47593.5689243361,59650.6370477639,70199.2149575675,57011.7069608043,58792.9360987148,59279.9968348403,64396.7201997334,11323.6236943345
9397448793,18961,-2,0,20700.8661017808,46166.9429749366,47587.8014360420,59649.2986011134,70192.0116810483,57017.0120766191,58789.0667711251,59266.8678899683,64394.2744926720,11326.0694013959
9397448793,18961,-2,0,20431.8261573287,46115.1450895614,47474.8608741315,59637.7271214348,70144.6428373166,57039.4006387733,58781.4376252171,59219.1218476351,64381.3889017365,11336.3511052113
9397448793,18961,-2,0,20202.4042337321,46095.0562221067,47445.6340663628,59669.9228472283,70139.7027524065,57048.9279453857,58810.2628989906,59225.1083544720,64404.3250102477,11338.4926198521
9397458016,18962,-2,0,20349.2318312946,46126.5583891813,47538.0598914299,59692.8467880427,70175.6339611247,57018.5573741156,58825.7158739558,59274.0103280034,64415.7018067772,11325.6678674008
9397458016,18962,-2,0,20619.1356822211,46154.8726196883,47590.6000063113,59667.8178356779,70194.0071833273,57011.6339546233,58809.8248619050,59285.2289444742,64399.6039438804,11316.2987408471
9397458016,18962,-2,0,20661.3332548030,46159.0826427890,47560.7891490951,59652.7907301016,70187.6069747984,57045.6791703339,58804.9212800853,59263.4122640706,64406.3691833140,11325.6070289167
9397458016,18962,-2,0,20455.3098121970,46134.2118704829,47525.5393313990,59642.3751816212,70163.7217859350,57078.7996410860,58798.0100282899,59241.6077513639,64411.7229699161,11331.8490573868
9397458016,18962,-2,0,20250.2841207304,46114.7557232630,47505.3044515825,59653.8128166347,70156.4698386285,57116.3978242689,58806.6247576406,59242.2039685082,64423.4039588661,11328.8193008779
9397458016,18962,-2,0,20314.4565537746,46149.7256839322,47560.9473291538,59699.5876920826,70194.1775310828,57094.4472992003,58837.0439996979,59280.9824182830,64452.3874126984,11333.8567273626
9397458016,18962,-2,0,20605.6782095349,46197.1553661480,47634.7322426881,59715.7585611603,70232.7247946179,57020.4677025168,58839.2220174292,59317.2786579058,64446.4130735583,11335.6332110988
9397458016,18962,-2,0,20751.1186896595,46200.4893150775,47600.2124868014,59693.0779742824,70224.5237669592,57008.0444840606,58821.3355030995,59304.4052346671,64413.4264474713,11337.9207381015
9397488337,18963,-2,0,20513.8486016121,46150.5652550130,47476.6616932613,59664.7150729881,70173.5411172711,57017.9003184871,58806.6490930342,59247.2657303866,64390.1253080554,11340.2691035883
9397488337,18963,-2,0,20232.1785878579,46118.1505106766,47437.5547156724,59657.4874610752,70146.6748426860,57034.8255847679,58807.9875396847,59228.9655143649,64393.8486232832,11331.3258464234
9397488337,18963,-2,0,20296.0346607847,46141.5124885767,47537.2689911364,59668.3288789445,70172.9814032172,57038.0743598196,58813.5481771328,59267.0625731175,64410.4818648401,11316.9679641724
9397488337,18963,-2,0,20568.1408648361,46178.4536161311,47602.0011382344,59674.4127273560,70202.2690494701,57031.5524743225,58811.3458240079,59291.1546128269,64408.6688780135,11309.6916814722
9397488337,18963,-2,0,20683.3081152652,46185.0606755060,47579.1015328136,59666.4793890274,70203.9603593285,57050.2663920362,58809.9343711764,59281.2014368258,64406.9167296710,11318.9634664513
9397488337,18963,-2,0,20545.5211164423,46155.5540107104,47513.4203053634,59660.1886897699,70178.7367238145,57028.1090161216,58809.0948000956,59258.4356760700,64405.5782830205,11331.1554986679
9397488337,18963,-2,0,20303.4569558466,46112.6020409254,47447.5322270672,59657.6456411339,70144.7766819817,57024.4100362874,58801.4291510972,59232.3603017785,64400.3826764771,11329.5371949905
9397488337,18963,-2,0,20257.5117326432,46117.7124735910,47467.6454299155,59675.9215217620,70155.3139074303,57024.5925517398,58814.3025743358,59243.4937443715,64406.3326802235,11325.2298303151
9397515922,18964,-2,0,20531.3579173403,46168.1110738316,47569.0266798442,59702.5566101074,70200.4560626435,57010.2833402760,58828.4049349536,59287.2974529341,64413.8644845569,11315.6781883091
9397515922,18964,-2,0,20728.6936244148,46178.3076037693,47587.0105357486,59668.7060775460,70197.2316229854,57028.6443947818,58797.2921341774,59274.6308805414,64395.4304238702,11304.1918825083
9397515922,18964,-2,0,20560.6698989868,46137.7526702584,47485.1182425532,59647.1935895630,70156.1656462079,57062.8234551574,58789.4196343329,59225.3030376212,64395.3939207797,11309.8985323182
9397515922,18964,-2,0,20276.0918056918,46100.7385365230,47431.4830349577,59657.5604672562,70128.6909867817,57022.8769064877,58801.4534864908,59204.0704066651,64391.9869656693,11314.5830955951
9397515922,18964,-2,0,20251.0871887207,46103.5736098828,47474.6540232855,59661.1742732126,70139.9826094334,56970.8234994792,58806.5639191564,59230.9975197343,64375.0982024790,11317.3329950771
