steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
5400184533,4829,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5400214031,4830,-2,0,5.7062988281,-0.8732910156,-8.0821289063,2.5609756098,2.4695121951,-0.6097560976,11.9999400003,-35.8498207509,-38.5498072510
5400242949,4831,-2,0,5.6464843750,-0.8565429688,-8.0653808594,-0.1829268293,0.6402439024,-2.7439024390,12.2999385003,-37.0498147509,-39.2998035010
5400272863,4832,-2,0,5.5962402344,-0.7871582031,-8.1969726563,-0.6402439024,0.5792682927,-2.8963414634,12.2999385003,-37.0498147509,-39.2998035010
5400304417,4833,-2,0,5.6728027344,-0.7871582031,-8.2017578125,-0.8231707317,1.1585365854,-1.8597560976,12.2999385003,-37.0498147509,-39.2998035010
5400333987,4834,-2,0,5.6416992188,-0.7943359375,-8.1778320313,-0.9451219512,1.0975609756,-1.4939024390,11.5499422503,-35.0998245009,-38.5498072510
5400365346,4835,-2,0,5.6416992188,-0.7943359375,-8.1778320313,-1.3719512195,1.3719512195,-0.5487804878,11.5499422503,-35.0998245009,-38.5498072510
5400421719,4836,-2,0,5.6728027344,-0.7608398438,-8.1850097656,-1.0975609756,1.4329268293,0.0609756098,11.5499422503,-35.0998245009,-38.5498072510
5400429829,4837,-2,0,5.6393066406,-0.7847656250,-8.1682617188,-0.7317073171,1.7378048780,-0.2439024390,12.1499392503,-38.3998080010,-39.1498042510
5400458029,4838,-2,0,5.6153808594,-0.7704101563,-8.1156250000,-0.4573170732,1.8902439024,-1.1280487805,12.1499392503,-38.3998080010,-39.1498042510
5400490361,4839,-2,0,5.7278320313,-0.7871582031,-8.1371582031,-0.1524390244,1.4634146341,-0.9146341463,12.1499392503,-38.3998080010,-39.1498042510
5400540588,4840,-2,0,5.7254394531,-0.7943359375,-8.1299804688,-0.3658536585,1.6158536585,-0.2439024390,11.9999400003,-36.5998170009,-39.5998020010
5400555350,4841,-2,0,5.7589355469,-0.8493652344,-8.0510253906,-0.8841463415,1.0975609756,0.1219512195,11.9999400003,-36.5998170009,-39.5998020010
5400585610,4842,-2,0,5.7565429688,-0.8708984375,-8.0916992188,-1.1890243902,0.5487804878,0.2439024390,11.9999400003,-36.5998170009,-39.5998020010
5400620330,4843,-2,0,5.7613281250,-0.8493652344,-8.1228027344,-0.7621951220,0.3048780488,0.8841463415,12.4499377503,-37.6498117509,-39.8998005010
5400682152,4844,-2,0,5.6919433594,-0.8708984375,-8.0964843750,-0.8841463415,0.7012195122,-0.0609756098,12.4499377503,-37.6498117509,-39.8998005010
5400689301,4845,-2,0,5.6369140625,-0.8565429688,-8.0653808594,-0.8231707317,0.6097560976,-1.7682926829,12.4499377503,-37.6498117509,-39.8998005010
5400727714,4846,-2,0,5.7350097656,-0.7895507813,-8.1060546875,-0.0914634146,-0.0304878049,-1.7682926829,12.4499377503,-35.6998215009,-39.8998005010
5400744101,4847,-2,0,5.7852539063,-0.8230468750,-8.1108398438,0.0609756098,-0.6707317073,-0.1829268293,12.4499377503,-35.6998215009,-39.8998005010
5400777719,4848,-2,0,5.6919433594,-0.9594238281,-8.1156250000,-1.2804878049,-1.4024390244,0.4878048780,12.4499377503,-35.6998215009,-39.8998005010
5400797741,4849,-2,0,5.5699218750,-0.9546386719,-8.1491210938,-2.3170731707,-1.0670731707,0.5792682927,13.0499347503,-37.0498147509,-40.3497982510
5400828453,4850,-2,0,5.4813964844,-0.8158691406,-8.1969726563,-1.8902439024,-0.1524390244,0.3048780488,13.0499347503,-37.0498147509,-40.3497982510
5400858822,4851,-2,0,5.5603515625,-0.7991210938,-8.2161132813,-1.0060975610,0.3963414634,-0.3048780488,13.0499347503,-37.0498147509,-40.3497982510
5400895489,4852,-2,0,5.5603515625,-0.8541503906,-8.2232910156,-0.5487804878,0.5182926829,-0.9756097561,13.0499347503,-37.0498147509,-40.3497982510
