epoch,loss,accuracy,val_loss,val_accuracy
0,6.510056972503662,0.5340909361839294,2.0750787258148193,0.5454545617103577
1,2.9835898876190186,0.5,3.6690521240234375,0.5454545617103577
2,2.0823404788970947,0.5113636255264282,3.1859166622161865,0.4545454680919647
3,1.6116493940353394,0.5227272510528564,1.7252904176712036,0.5454545617103577
4,1.3085663318634033,0.4886363744735718,1.6584452390670776,0.4545454680919647
5,1.1887431144714355,0.4886363744735718,1.3373870849609375,0.5454545617103577
6,1.3090205192565918,0.4431818127632141,1.1821097135543823,0.3181818127632141
7,0.8765077590942383,0.5227272510528564,1.226122260093689,0.5
8,1.078046202659607,0.4431818127632141,1.5915729999542236,0.4545454680919647
9,0.9332902431488037,0.5454545617103577,1.1543197631835938,0.3181818127632141
