,loss,accuracy,val_loss,val_accuracy
0,635.7169189453125,0.4886363744735718,37.628013610839844,0.4545454680919647
1,9.711523056030273,0.5568181872367859,0.6857566833496094,0.5909090638160706
2,0.7039608359336853,0.4431818127632141,0.6880146265029907,0.5454545617103577
3,0.6965186595916748,0.4886363744735718,0.6921762824058533,0.5909090638160706
4,0.6952767968177795,0.4318181872367859,0.6926864385604858,0.5454545617103577
5,0.6943321824073792,0.47727271914482117,0.6936105489730835,0.4545454680919647
6,0.6938099265098572,0.5113636255264282,0.6933557987213135,0.40909090638160706
7,0.6965494751930237,0.5,0.6933033466339111,0.5
8,0.6939504146575928,0.4886363744735718,0.6929914951324463,0.5454545617103577
9,0.6937963962554932,0.4886363744735718,0.6935526132583618,0.4545454680919647
10,0.6950404047966003,0.5113636255264282,0.6940617561340332,0.4545454680919647
11,0.6933062076568604,0.4545454680919647,0.6947211623191833,0.4545454680919647
